index,variable,label
com_01,P6_5,P6_5 Nivel de interés en Ciencia y tecnología
com_01,P6_1,P6_1 Nivel de interés en Deportes
com_01,P9_2,P9_2 Lee las noticias científicas que se publican en los diarios
com_01,P7_6,P7_6 Nivel de información en Medicina y salud
com_01,P6_9,P6_9 Nivel de interés en Medioambiente y ecología
com_01,P7_8,P7_8 Nivel de información en Astrología y esoterismo
com_01,P9_6,P9_6 Usa Internet para buscar información científica
com_01,P9_1,"P9_1 Mira programas o documentales de TV sobre ciencia, tecnología o naturaleza"
com_01,P35,P35 Actualmente se habla mucho sobre “inteligencia artificial” como un tipo de tecnología que está c...
com_01,P9_4,P9_4 Lee revistas de divulgación científica
com_01,P7_9,P7_9 Nivel de información en Medioambiente y ecología
com_01,P7_1,P7_1 Nivel de información en Deportes
com_01,P7_2,P7_2 Nivel de información en Política
com_01,P9_7,P9_7 Usa las redes sociales para compartir o informarse sobre temas científicos . Sí selecciono la o...
com_01,P6_3,P6_3 Nivel de interés en Economía
com_01,P7_5,P7_5 Nivel de información en Ciencia y tecnología
com_01,P6_6,P6_6 Nivel de interés en Medicina y salud
com_01,P7_7,P7_7 Nivel de información en Arte y cultura
com_01,P9_3,P9_3 Escucha programas o secciones de radio que tratan sobre temas de ciencia y tecnología
com_01,P9_5,P9_5 Lee libros de divulgación científica
com_01,P7_3,P7_3 Nivel de información en Economía
com_01,P6_2,P6_2 Nivel de interés en Política
com_01,P6_8,P6_8 Nivel de interés en Astrología y esoterismo
com_01,P6_7,P6_7 Nivel de interés en Arte y cultura
com_02,P26_5,P26_5 El desarrollo científico-tecnológico ayudará a disminuir las desigualdades sociales.
com_02,P26_9,P26_9 La ciencia y la tecnología están haciendo que nuestras vidas sean más fáciles y cómodas.
com_02,P26_7,P26_7 Si una nueva tecnología ofrece beneficios debería ser utilizada aunque no conozcamos todas las...
com_02,P30_1,P30_1 Gracias a la ciencia y la tecnología nuestros hijos van a tener más oportunidades.
com_02,P36,"P36 ¿Cree que la “inteligencia artificial” tendrá efectos muy positivos, positivos, negativos, o muy..."
com_02,P30_4,P30_4 Los beneficios de la ciencia y la tecnología son mayores que los perjuicios que puedan ocasion...
com_02,P30_2,P30_2 La ciencia hace que nuestro modo de vida cambie demasiado rápido.
com_02,P30_3,P30_3 La ciencia y la tecnología eliminarán la pobreza y el hambre en el mundo.
com_02,P37_7,P37_7 Nivel de acuerdo con que la IA Ayudará a crear más empleos
com_02,P37_13,P37_13 Nivel de acuerdo con que la IA Nos ayudará a cuidar mejor nuestra salud
com_02,P37_4,P37_4 Nivel de acuerdo con que la IA Aumentará nuestra calidad de vida
com_02,P26_1,P26_1 La ciencia y la tecnología están haciendo que nuestras vidas sean más fáciles y cómodas.
com_02,P37_1,P37_1 Nivel de acuerdo con que la IA Resolverá complejos problemas sociales
com_02,P37_15,P37_15 Nivel de acuerdo con que la IA Nos ayuda a tomar mejores decisiones
com_02,P26_3,"P26_3 La ciencia y la tecnología van a ayudar a curar enfermedades como el Sida, el cáncer, etcétera..."
com_02,P37_3,P37_3 Nivel de acuerdo con que la IA Favorece el desarrollo de la economía
com_02,P37_10,P37_10 Nivel de acuerdo con que la IA Mejora la evolución de la sociedad
com_02,P30_7,P30_7 La ciencia y la tecnología contribuyen a mejorar el medio ambiente.
com_02,P37_6,P37_6 Nivel de acuerdo con que la IA Será una buena compañía para nuestra vida cotidiana
com_02,P30_8,P30_8 La ciencia y la tecnología pueden resolver cualquier tipo de problemas.
com_02,P30_6,P30_6 Gracias a la ciencia y la tecnología los recursos del planeta no se extinguirán nunca.
com_03,P4_3,P4_3 Destaque de Perú en Agricultura y ganadería
com_03,P4_9,P4_9 Destaque de Perú en Educación
com_03,P4_13,P4_13 Destaque de Perú en Obras públicas
com_03,P4_8,P4_8 Destaque de Perú en Investigación científica
com_03,P4_4,P4_4 Destaque de Perú en Minería
com_03,P4_6,P4_6 Destaque de Perú en Desarrollo de tecnologías
com_03,P4_7,P4_7 Destaque de Perú en Arte y cultura
com_03,P4_11,P4_11 Destaque de Perú en Medioambiente
com_03,P4_10,P4_10 Destaque de Perú en Turismo
com_03,P4_14,P4_14 Destaque de Perú en Vivienda
com_03,P4_12,P4_12 Destaque de Perú en Energía
com_03,P4_2,P4_2 Destaque de Perú en Desarrollo de la industria
com_03,P4_5,P4_5 Destaque de Perú en Salud
com_03,P4_1,P4_1 Destaque de Perú en Deportes
com_04,P12,P12 Qué tan gratificante diría que es la profesión de Científico
com_04,P3_4,P3_4 Aprecio por la profesión de Empresario
com_04,P3_6,P3_6 Aprecio por la profesión de Científico
com_04,P3_2,P3_2 Aprecio por la profesión de Juez
com_04,P3_9,P3_9 Aprecio por la profesión de Ingeniero
com_04,P3_7,P3_7 Aprecio por la profesión de Deportista
com_04,P3_3,P3_3 Aprecio por la profesión de Médico
com_04,P13,P13 Qué tan remunerada diría que es la profesión de Científico
com_04,P11,P11 Qué tan atractiva diría que es la profesión de Científico
com_04,P3_10,P3_10 Aprecio por la profesión de Periodista
com_04,P3_8,P3_8 Aprecio por la profesión de Profesor
com_04,P14,P14 Qué tan prestigiosa diría que es la profesión de Científico
com_04,P3_1,P3_1 Aprecio por la profesión de Artista
com_05,P37_16,P37_16 Nivel de acuerdo con que la IA Controlará nuestra vida privada
com_05,P30_5,P30_5 La ciencia y la tecnología están produciendo un estilo de vida artificial.
com_05,P30_9,P30_9 Quienes pagan a los científicos pueden influirlos para que lleguen a las conclusiones que les ...
com_05,P26_2,P26_2 La ciencia y la tecnología son responsables por la mayor parte de los problemas medioambiental...
com_05,P37_14,P37_14 Nivel de acuerdo con que la IA Creará divisiones sociales
com_05,P37_11,P37_11 Nivel de acuerdo con que la IA Hará que se pierdan más puestos de trabajo
com_05,P37_8,P37_8 Nivel de acuerdo con que la IA Es negativa para el desarrollo de la sociedad
com_05,P26_6,"P26_6 Debido a su conocimiento, los científicos tienen un poder que los vuelve peligrosos."
com_05,P37_12,P37_12 Nivel de acuerdo con que la IA Creará muchos más problemas que soluciones
com_05,P26_4,P26_4 Dependemos demasiado de la ciencia y no lo suficiente de la Fe.
com_05,P37_5,P37_5 Nivel de acuerdo con que la IA Generará muchos más daños que beneficios
com_05,P37_2,P37_2 Nivel de acuerdo con que la IA Amenaza el desarrollo de la sociedad
com_05,P37_9,P37_9 Nivel de acuerdo con que la IA Aumentará el dominio de las máquinas sobre las personas
com_06,P5_4,P5_4 Visitó un parque nacional o reserva natural en el último año
com_06,P5_3,P5_3 Visitó un zoológico o acuario en el último año
com_06,P5_6,P5_6 Realizó alguna actividad de la Semana Nacional de la Ciencia en el último año
com_06,P5_1,P5_1 Visitó un museo de arte en el último año
com_06,P5_5,P5_5 Visitó un laboratorio o institución de ciencia y tecnología en el último año
com_06,P5_2,P5_2 Visitó un museo de ciencia en el último año
com_07,P24_4,P24_4 Como considera que son las condiciones de para conseguir trabajo en una universidad o institut...
com_07,P24_5,P24_5 Como considera que son las condiciones de para conseguir trabajo en una empresa
com_07,P22,"P22 En su opinión, ¿nuestro país está adelantado, en un lugar intermedio, o atrasado con respecto al..."
com_07,P24_2,"P24_2 Como considera que son las condiciones de Equipamientos (materiales, máquinas, insumos, etc.)"
com_07,P24_3,P24_3 Como considera que son las condiciones de Salarios
com_07,P24_1,"P24_1 Como considera que son las condiciones de Infraestructuras (edificios, laboratorios, etc.)"
com_08,P1_2,P1_2 Nivel de satisfacción con la situación económica del país
com_08,P1_4,P1_4 Nivel de satisfacción con la calidad de la democracia
com_08,P1_3,P1_3 Nivel de satisfacción con la situación ambiental del país
com_08,P1_1,P1_1 Nivel de satisfacción con la situación social del país
com_09,P6_4,P6_4 Nivel de interés en Religión
com_09,P3_5,P3_5 Aprecio por la profesión de Religioso
com_09,P7_4,P7_4 Nivel de información en Religión
